SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,MnO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Total_Liq,P_kbar
48.71718079,0.6189477888,18.76809424,9.953079764,8.495557552,0.09983028851,10.88150145,2.385943895,0.07986423081,100,15
50.38534681,0.930837754,16.59493544,8.797918126,8.007206486,0.1501351216,12.51126013,2.512261035,0.1100990892,100,2.05
50.81606088,0.8711324722,17.64293582,8.631220587,6.788825473,0.1702212877,12.61640132,2.383098027,0.08010413538,100,2.03
53.5102654,0.9514271407,18.42764146,8.783174762,4.636955433,0.2003004507,10.38557837,2.994491738,0.1101652479,100,2.02
50.58046437,0.9007205765,18.79503603,8.54683747,5.944755805,0.1100880705,12.30984788,2.732185749,0.08006405124,100,2.07
51.20168236,0.9813739235,18.19547366,8.632084919,6.038453835,0.2403364711,12.20708993,2.433406769,0.07009813739,100,2.02
65.64226173,0.9139298986,16.39047906,4.238224365,1.737471126,0.1807773426,6.056040976,4.509390379,0.3314251281,100,2.03
66.2582848,0.7832898172,16.86081542,3.715605543,1.506326572,0.1305483029,5.442860012,4.960835509,0.3414340229,100,2.01
66.23102443,0.8444757213,16.02493214,4.131899065,1.819644114,0.07037297678,5.881170202,4.694882879,0.3015984719,100,2.01
53.31865052,1.251376514,19.27119832,8.559415357,3.784162579,0.1701872059,9.550505556,3.934327761,0.1601761938,100,2.07
63.33099368,0.7018951168,16.79534744,5.324375815,2.526822421,0.1203248772,6.447408002,4.462047528,0.2907851198,100,2.03
57.67996792,1.002606778,19.2901544,6.44676158,2.997794265,0.1604170844,7.760176459,4.401443754,0.2606777622,100,2.05
63.40757016,0.8588834515,17.18765605,5.233196844,1.817637072,0.2996105063,6.191950464,4.773794068,0.2297013882,100,2.03
57.75481541,1.073434992,18.09791332,6.841894061,3.892455859,0.1203852327,8.075842697,3.852327448,0.2909309791,100,2.05
59.81972959,0.901352028,17.94692038,5.568352529,3.194792188,0.0901352028,7.591387081,4.54682023,0.3405107661,100,2.04
56.31077694,1.052631579,18.83709273,6.516290727,4.481203008,0.1303258145,8.781954887,3.749373434,0.1403508772,100,2.05
51.42742663,1.071822098,17.98056696,9.466092357,5.940098167,0.1702894921,10.85845938,2.985074627,0.1001702895,100,2.07
51.07235919,1.252756063,17.15774704,10.21246743,6.133493686,0.1403086791,11.24473842,2.645820806,0.1403086791,100,2.02
