SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
50.9,0.73,7.78,12,12.2,0.44,15.5,1.33,0.001172777844,100.8811728,15
51.8,0.76,6.56,12.2,12,0.4,15.8,1.25,0.00369673051,100.7736967,15
49.6,0.8,4.5,12.3,13.3,0.46,17.4,0.53,0.005568129589,98.89556813,10
51.8,0.5,2.4,12.5,14.2,0.57,17.3,0.27,0.00581465851,99.54581466,7
50.1,0.85,6.49,12.8,11.7,0.57,16.3,0.82,0.0004953353455,99.63049534,12.5
49.8,0.74,4.86,13,13.1,0.56,16.9,0.49,0.005142886188,99.45514289,10
50.1,0.61,4.28,13.2,12.4,0.5,17.3,0.53,0.008954793262,98.92895479,10
49.69,0.69,13.79,5.7,12.39,0.14,15.45,2.2,0.001113408258,100.0511134,30
50.31,0.71,14.64,6.24,11.12,0.14,14.88,2.67,0.00574986002,100.7157499,30
50.08,0.74,11.46,6.45,13.94,0.17,16.44,1.58,0.009264221531,100.8692642,20
49.66,0.85,14.49,6.76,10.34,0.15,14.45,2.9,0.001645116282,99.60164512,30
49.93,0.96,14.6,7.08,9.76,0.14,14.09,3.07,0.008642248532,99.63864225,30
51.62,1.74,14.17,7.34,8.71,0.1,13.65,3.49,0.008375174523,100.8283752,30
51.19,2,15.74,7.51,7.85,0.14,13,3.91,0.009244260546,101.3492443,30
50.91,1.87,14.29,7.54,8.9,0.11,14.17,3.42,0.007489555908,101.2174896,30
50.55,1.28,15.06,7.63,9.31,0.13,13.7,3.23,0.008235609036,100.8982356,30
50.21,1.69,15.22,7.69,8.27,0.12,12.8,3.46,0.007966598289,99.4679666,30
50.31,2.12,15.41,7.73,7.96,0.11,13.1,3.78,0.007425901767,100.5274259,30
49.93,1.87,14.92,7.73,8.27,0.11,13.05,3.55,0.005735285103,99.43573529,30
50.77,2.02,15.46,7.76,7.99,0.13,13.15,3.85,0.009786727645,101.1397867,30
48.59,1.23,14.1,7.76,11.51,0.17,15.57,2.02,0.004680824681,100.9546808,20
50.3,2.04,15.45,7.77,8.11,0.11,13.04,3.77,0.005374898562,100.5953749,30
50.02,1.87,15.09,7.79,8.12,0.12,12.81,3.62,0.001587144474,99.44158714,30
50.08,1.79,14.86,7.79,8.26,0.12,13.03,3.5,0.007400170134,99.43740017,30
49.94,1.49,14.78,7.86,8.84,0.12,13.23,3.26,0.006656496643,99.5266565,30
48.39,1.09,12.77,7.9,11.94,0.16,15.81,1.81,0.004519238095,99.87451924,20
50.09,1.75,14.86,8.03,9.34,0.13,13.94,2.97,0.005258434949,101.1152584,25
48.9,2.12,10.98,9.99,10.99,0.17,15.1,1.99,0.005396055039,100.2453961,20
54.1,0.4,2.29,11.6,15.9,0.007838204531,17.2,0.33,0.006074636062,101.8339128,5
55.1,0.12,1.17,13.7,25.5,0.0005267493285,5.18,0.09,0.00005814017194,100.8605849,5
55.6,0.19,2.13,13.8,26.3,0.00333224578,4.23,0.07,0.008443651253,102.3317759,5
52,0.36,3.35,8.38,14.7,0.53,20.3,0.45,0.005844028325,100.075844,1.525
50.4,0.61,3.17,9.25,15.5,0.3,20.4,0.22,0.01,99.86,2.267
53.1,0.54,4.28,10.4,14.5,0.75,18,0.53,0.004085987406,102.104086,1.56
52.1,0.39,2.58,11.6,13.1,0.49,19.2,0.32,0.00829618894,99.78829619,1.903
53,0.43,2.38,12.7,13.5,0.4,18,0.25,0.004397732889,100.6643977,1.02
50.4,0.63,3.27,12.7,15.4,0.32,17.2,0.21,0.006680735204,100.1366807,1.485
52.8,0.45,3.61,13.6,12.7,0.55,16.5,0.44,0.004422569568,100.6544226,1.485
53.4,0.3,3.41,13.7,12,0.58,15.7,0.21,0.003193574965,99.30319357,1.752
51.6,0.32,2.79,14,13.2,0.61,18.9,0.27,0.0005765241626,101.6905765,2.077
52.7,0.57,3.39,14.3,13.3,0.6,15.6,0.42,0.007358501309,100.8873585,1.485
50,1.02,3.91,15.2,15.3,0.38,13.8,0.31,0.04,99.96,3.997
52.8,0.29,2.39,16.5,17.2,0.74,10.71,0.21,0.002600314159,100.8426003,1.495
51.6,0.48,2.66,17.5,13.8,0.63,13.3,0.26,0.002504791264,100.2325048,2.077
51.6,0.3,1.33,20.09,16.8,0.51,8.77,0.07,0.001456031267,99.47145603,1.495
